שם הארגון,סוג הארגון,תחום השירות העיקרי,Value
טיפול באמצעות אומנויות בגיל השלישי (פרטי),מטפלת במוסיקה ותנועה M.A,ירידה קוגנטיבית ודמנציה,NA
טיפול באמצעות אומנויות בגיל השלישי (פרטי),מטפלת במוסיקה ותנועה M.A,ירידה קוגנטיבית ודמנציה,המשרד לשוויון חברתי
טלי מנילוביץ - פנסיונרית,גרונטולוג,סיעוד,המוסד לביטוח לאומי
טלי מנילוביץ - פנסיונרית,גרונטולוג,סיעוד,משרד העבודה והרווחה
טלי מנילוביץ - פנסיונרית,גרונטולוג,סיעוד,קופות החולים (כללי)
טעם של ילדות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,המועצה הישראלית להתנדבות
טעם של ילדות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,מפעל הפיס
יחדיו - עמותת הותיקים של שער הנגב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אנשי מקצוע בתחום הזקנה (כללי)
יחדיו - עמותת הותיקים של שער הנגב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,האזרחים הוותיקים (כללי)
יחדיו - עמותת הותיקים של שער הנגב,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרדי הממשלה (כללי)
ייעוץ והכוונה לגיל המבוגר,גרונטולוג,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
ייעוץ והכוונה לגיל המבוגר,גרונטולוג,נגישות לשירותים,הלב – איגוד העמותות לזקן בישראל
ייעוץ והכוונה לגיל המבוגר,גרונטולוג,נגישות לשירותים,מערכת החינוך (כללי)
ישראל דיגיטלית,משרד ממשלתי,אוריינות דיגיטלית,NA
ישראל דיגיטלית,משרד ממשלתי,אוריינות דיגיטלית,המשרד לשוויון חברתי
כיוון חדש. עיתון גמלאי דרום השרון,מתעניין/ת בתחום,אוריינות דיגיטלית,NA
כיוון חדש. עיתון גמלאי דרום השרון,מתעניין/ת בתחום,אוריינות דיגיטלית,אגף הגריאטריה במשרד הבריאות
כיוונים,רשות מקומית/מועצה איזורית,אחר:,NA
כיוונים,רשות מקומית/מועצה איזורית,אחר:,ג'וינט אשל
כיוונים,רשות מקומית/מועצה איזורית,אחר:,המשרד לשוויון חברתי
כל אחד והפעקלע שלו (בלוג),רשות מקומית/מועצה איזורית,אחר:,NA
כל אחד והפעקלע שלו (בלוג),רשות מקומית/מועצה איזורית,אחר:,"מירב כהן, השרה לשוויון חברתי"
כל זכות,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,NA
כללית,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,פרופסור רן בליצר
כן לזקן - לקידום זכויות הזקנים,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
כפר ורדים - אגף רווחה,רשות מקומית/מועצה איזורית,נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
כפר ורדים - אגף רווחה,רשות מקומית/מועצה איזורית,נגישות לשירותים,המוסד לביטוח לאומי
כפר ורדים - אגף רווחה,רשות מקומית/מועצה איזורית,נגישות לשירותים,המשרד לשוויון חברתי
כפר ורדים - מועדון מועשר,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
כפר ורדים - מועדון מועשר,רשות מקומית/מועצה איזורית,הפגת בדידות,אגף הגריאטריה במשרד הבריאות
לגעת במים,גרונטולוג,שיקום,NA
לגעת במים,גרונטולוג,שיקום,אגף הגריאטריה במשרד הבריאות
לגעת במים,גרונטולוג,שיקום,קופות חולים\ בטוחים
"ליבאי תובנות שיווק בע""מ",גרונטולוג,אחר:,ג'וינט אשל
"ליבאי תובנות שיווק בע""מ",גרונטולוג,אחר:,ירון רז - איש חזון
"ליבאי תובנות שיווק בע""מ",גרונטולוג,אחר:,קהילת AgingIL
"לייף אסיסטנט בע""מ",סטארט אפ,מניעת נפילות,NA
מ.א. חבל מודיעין,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,אגף הגריאטריה במשרד הבריאות
מ.א. חבל מודיעין,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
מ.א. חבל מודיעין,רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,הרשויות המקומיות (כללי)
מ.ת.ג - מחברים תוכן לגמלאים,חברה מסחרית - תחום עסקי אחר,הפגת בדידות, מ.ת.ג - מחברים תוכן לגמלאים
מ.ת.ג - מחברים תוכן לגמלאים,חברה מסחרית - תחום עסקי אחר,הפגת בדידות,עמותת עמדא
מ.ת.ג - מחברים תוכן לגמלאים,חברה מסחרית - תחום עסקי אחר,הפגת בדידות,"תנועת של""מ-שרות לאומי למבוגר"
מאור כלים לחיים,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
מאור כלים לחיים,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המרכז לשלטון מקומי
מאור כלים לחיים,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרדי הממשלה (כללי)
מגדלי הים התיכון,משקיע,אחר:,NA
מגדלי הים התיכון,משקיע,אחר:,המשרד לשוויון חברתי
מגדלי הים התיכון,משקיע,אחר:,הרשויות המקומיות (כללי)
מהלב,חברה מסחרית - תחום עסקי אחר,שיקום,ג'וינט אשל
מהלב,חברה מסחרית - תחום עסקי אחר,שיקום,המשרד לשוויון חברתי
מהלב,חברה מסחרית - תחום עסקי אחר,שיקום,חברת תיגבור סיעוד
מהלב - המרכז לאיכות חיים ונגישות,חברה מסחרית - תחום עסקי אחר,שיקום,ג'וינט אשל
מהלב - המרכז לאיכות חיים ונגישות,חברה מסחרית - תחום עסקי אחר,שיקום,המשרד לשוויון חברתי
מהלב - המרכז לאיכות חיים ונגישות,חברה מסחרית - תחום עסקי אחר,שיקום,קהילה תומכת לקשישים ונכים -  תיגבור סיעוד
מהלב לצלחת,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אביב לניצולי השואה
מהלב לצלחת,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ארגון דור לדור
מהלב לצלחת,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,עמותת לתת
מודל ai,סטארט אפ,עיצוב ממשקים דיגיטליים עבור אזרחים ותיקים,NA
מוטק'ה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
מוטק'ה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,המשרד לשוויון חברתי
מוטק'ה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,והדרת הכוח השלישי
מומחי זהב,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,NA
מומחי זהב,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,ג'וינט אשל
מומחי זהב,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",תעסוקה,המשרד לשוויון חברתי
מוסררה בית ספר לצילום,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
מוסררה בית ספר לצילום,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,ג'וינט אשל
"מועדון לאזרחים ותיקים ע""ש פורטר",רשות מקומית/מועצה איזורית,הפגת בדידות,NA
"מועדון לאזרחים ותיקים ע""ש פורטר",רשות מקומית/מועצה איזורית,הפגת בדידות,"קואל""ה"
מועדון סבאבא לגיל השלישי,מתעניין/ת בתחום,תעסוקה,NA
מועדון סבאבא לגיל השלישי,מתעניין/ת בתחום,תעסוקה,אגף הגריאטריה במשרד הבריאות
מועדון סבאבא לגיל השלישי,מתעניין/ת בתחום,תעסוקה,מרכזי גמלאים ברשויות המקומיות (כללי)
מועצה אזורית גוש עציון,רשות מקומית/מועצה איזורית,אחר:,NA
מועצה אזורית גוש עציון,רשות מקומית/מועצה איזורית,אחר:,תמר דשבסקי  - הזדמנויות לזקנה משמעותית
מועצה אזורית הגליל העליון,רשות מקומית/מועצה איזורית,אחר:,NA
מועצה אזורית הגליל העליון,רשות מקומית/מועצה איזורית,אחר:,ג'וינט אשל
מועצה אזורית חבל יבנה,רשות מקומית/מועצה איזורית,ניצולי שואה,NA
מועצה אזורית חבל יבנה,רשות מקומית/מועצה איזורית,ניצולי שואה,ג'וינט אשל
מועצה אזורית יואב,מגזר ציבורי,הפגת בדידות,NA
מועצה אזורית יואב,מגזר ציבורי,הפגת בדידות,ג'וינט אשל
מועצה אזורית יואב,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
מועצה אזורית יואב,רשות מקומית/מועצה איזורית,הפגת בדידות,ג'וינט אשל
מועצה אזורית עמק המעיינות,רשות מקומית/מועצה איזורית,אחר:,NA
מועצה אזורית עמק המעיינות,רשות מקומית/מועצה איזורית,אחר:,ג'וינט אשל
מועצה אזורית עמק המעיינות,רשות מקומית/מועצה איזורית,אחר:,משרד העבודה והרווחה
מועצה אזורית עמק יזרעאל,רשות מקומית/מועצה איזורית,נגישות לשירותים,NA
מועצה אזורית עמק יזרעאל,רשות מקומית/מועצה איזורית,נגישות לשירותים,ג'וינט אשל
מועצה אזורית שדות דן,רשות מקומית/מועצה איזורית,הפגת בדידות,NA
מועצה אזורית שדות דן,רשות מקומית/מועצה איזורית,הפגת בדידות,המשרד לשוויון חברתי
מועצה מקומית אפרת,רשות מקומית/מועצה איזורית,הפגת בדידות,"ד""ר תמי גיטליץ"
מועצה מקומית אפרת,רשות מקומית/מועצה איזורית,הפגת בדידות,פרופסור איסי דורון
מועצה מקומית אפרת,רשות מקומית/מועצה איזורית,הפגת בדידות,פרופסור יורם מערבי
מועצה מקומית כוכב יאיר צור יגאל,רשות מקומית/מועצה איזורית,נגישות לשירותים,NA
מיכאל לבקוביץ' - פתרונות לניידות,אחר:,אחר:,המוסד לביטוח לאומי
מיכאל לבקוביץ' - פתרונות לניידות,אחר:,אחר:,המרחב ליזמות 60+-
מיכאל לבקוביץ' - פתרונות לניידות,אחר:,אחר:,הרשויות המקומיות (כללי)
מיכאל לבקוביץ' - פתרונות לניידות,יזם של מוצרים ועזרים,אחר:,המוסד לביטוח לאומי
מיכאל לבקוביץ' - פתרונות לניידות,יזם של מוצרים ועזרים,אחר:,המרחב ליזמות 60+-
מיכאל לבקוביץ' - פתרונות לניידות,יזם של מוצרים ועזרים,אחר:,הרשויות המקומיות (כללי)
מיכל גולדברג - יעוץ ולווי בני משפחה מטפלים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,ג'וינט אשל
מיכל גולדברג - יעוץ ולווי בני משפחה מטפלים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,הרשויות המקומיות (כללי)
מיכל גולדברג - יעוץ ולווי בני משפחה מטפלים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,עמותות (כללי)
מילים נושאות הרחק,אחר:,אחר:,NA
מילים נושאות הרחק,אחר:,אחר:,ג'וינט אשל
מילים נושאות הרחק,אחר:,אחר:,"מירב כהן, השרה לשוויון חברתי"
מילים נושאות הרחק,מרצה בתחום,אחר:,NA
מילים נושאות הרחק,מרצה בתחום,אחר:,ג'וינט אשל
מילים נושאות הרחק,עסק פרטי,אחר:,NA
מילים נושאות הרחק,עסק פרטי,אחר:,"מירב כהן, השרה לשוויון חברתי"
מינה אורט - עצמאית,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,NA
מינה אורט - עצמאית,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,המשרד לשוויון חברתי
מינה אורט - עצמאית,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",נגישות לשירותים,עיריית תל אביב
מינהל לב העיר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
מינהל לב העיר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,"החברה למתנ""סים"
מינהל לב העיר,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",הפגת בדידות,מארגני טיולים (כללי)
מירי קקון,מכון אקדמי/מחקר,אחר:,NA
מירי קקון,מכון אקדמי/מחקר,אחר:,"עידית חמל - מנכ""ל המ.א. הגליל העליון"
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,NA
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,מסגרות לדיור מוגן (כללי)
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אחר:,קופות החולים (כללי)
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,אגף הגריאטריה במשרד הבריאות
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,המוסד לביטוח לאומי
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,לשכות הרווחה ברשויות המקומיות (כללי)
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,מרכזי יום לקשישים (כללי)
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,קופות החולים (כללי)
מכבי שירותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ניצולי שואה,קרנות הביטוח הלאומי
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,המוסד לביטוח לאומי
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,משרד הבריאות
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,קופות החולים (כללי)
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),נגישות לשירותים,NA
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),נגישות לשירותים,אגף הגריאטריה במשרד הבריאות
מכבי שרותי בריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),נגישות לשירותים,ג'וינט אשל
מכון אדלר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
מכון אדלר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,הרשויות המקומיות (כללי)
מכון אדלר,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,עמותות (כללי)
מכון ברוקדייל,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
מכון ברוקדייל,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,ג'וינט אשל
מכון ברוקדייל,מכון אקדמי/מחקר,אחר:,NA
מכון ברוקדייל,מכון אקדמי/מחקר,אחר:,והדרת הכוח השלישי
מכון ברוקדייל,מכון אקדמי/מחקר,אחר:,מקדמי דיור ציבורי (כללי)
מכון דו-עת,מכון אקדמי/מחקר,אחר:,NA
מכון דו-עת,מכון אקדמי/מחקר,אחר:,אגף הגריאטריה במשרד הבריאות
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,"ד""ר צבי לניר"
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,משרד העבודה והרווחה
מכון לתבונה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עינת פורת עמוס
מכללת סמינר הקיבוצים - הכשרת מנחים לגיל השלישי,מכון אקדמי/מחקר,אחר:,NA
מכללת סמינר הקיבוצים - הכשרת מנחים לגיל השלישי,מכון אקדמי/מחקר,אחר:,אגף הגריאטריה במשרד הבריאות
מכללת ספיר,מכון אקדמי/מחקר,אחר:,NA
מכללת רופין,מכון אקדמי/מחקר,אחר:,NA
מכללת רופין,מכון אקדמי/מחקר,אחר:,"ד""ר דניאלה אייזנברג"
מלי וייס - סדנאות להפגת בדידות,גרונטולוג,ירידה קוגנטיבית ודמנציה,NA
מלי וייס - סדנאות להפגת בדידות,גרונטולוג,ניצולי שואה,NA
מנהל קהילתי גינות העיר,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
מנהל קהילתי גינות העיר,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ארגון דור לדור
מנהל קהילתי רמת שלמה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,NA
מנהל קהילתי רמת שלמה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,ג'וינט אשל
מנהל קהילתי רמת שלמה,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,משרד העבודה והרווחה
מסע חי,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
מסע חי,"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
מעברים של זהב,חברה מסחרית - תחום עסקי אחר,אחר:,ג'וינט אשל
מעברים של זהב,חברה מסחרית - תחום עסקי אחר,אחר:,המשרד לשוויון חברתי
מעברים של זהב,חברה מסחרית - תחום עסקי אחר,אחר:,משרד העבודה והרווחה
מעטפת לגיל השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,ג'וינט אשל
מעטפת לגיל השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,מעטפת - שירותי עבודה סוציאלית לגיל השלישי
מעטפת לגיל השלישי,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,צבר רפואה
"מענית קייר בע""מ",חברה מסחרית - שירותי ניהול טיפול לגיל השלישי,אחר:,NA
"מענית קייר בע""מ",חברה מסחרית - שירותי ניהול טיפול לגיל השלישי,אחר:,"קואל""ה"
"מענית קייר בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,NA
"מענית קייר בע""מ",חברה מסחרית - תחום עסקי אחר,אחר:,"קואל""ה"
"מענית קייר בע""מ","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,חברות סטארט אפ (כללי)
"מענית קייר בע""מ","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,"מירב כהן, השרה לשוויון חברתי"
"מענית קייר בע""מ","מגזר שלישי (עמותה רשומה/חל""צ)",נגישות לשירותים,עמותת מטב
מפנה בדרך,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
מפנה בדרך,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,גלית ליס
מפנה בדרך,חברה מסחרית - תחום עסקי אחר,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,עמותת 50+-
מפעל מוגן של משרד הרווחה,אחר:,תעסוקה,NA
מפעל מוגן של משרד הרווחה,מגזר פרטי,תעסוקה,NA
מרווה,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,NA
מרווה,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,ג'וינט אשל
מרווה,"מגזר שלישי (עמותה רשומה/חל""צ)",בריאות הנפש,המוסד לביטוח לאומי
מרחב יזמות לגמלאים ברעננה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,NA
מרחב יזמות לגמלאים ברעננה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אחר:,מרכזי אפ 60 (ג'וינט אשל)
מרחב יזמות לגמלאים ברעננה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
מרחב יזמות לגמלאים ברעננה,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המרחב ליזמות 60+ חיפ
מרחבים,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,NA
מרחבים,"מגזר שלישי (עמותה רשומה/חל""צ)",אחר:,ג'וינט אשל
מרכז אלה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניצולי שואה,NA
מרכז אלה,"מגזר שלישי (עמותה רשומה/חל""צ)",ניצולי שואה,ג'וינט אשל
"מרכז אפ 60+ מנהל שירותים חברתיים, עיריית אשדוד",רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
"מרכז אפ 60+ מנהל שירותים חברתיים, עיריית אשדוד",רשות מקומית/מועצה איזורית,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
"מרכז חוסן ע""ש כהן האריס","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,זאב פרידמן
"מרכז חוסן ע""ש כהן האריס","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,יריב מן -  סמנכל משרד העבודה והרווחה
"מרכז חוסן ע""ש כהן האריס","מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,פרופסור איסי דורון
מרכז סיעוד מרגוע חיפה,חברה מסחרית - בתי אבות,סיעוד,המשרד לשוויון חברתי
מרכז סיעוד מרגוע חיפה,חברה מסחרית - בתי אבות,סיעוד,משרד הבריאות
מרכז סיעוד מרגוע חיפה,חברה מסחרית - בתי אבות,סיעוד,משרד העבודה והרווחה
"מרכז רפואי גריאטרי ""שהם""",מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,NA
"מרכז רפואי גריאטרי ""שהם""",מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,אגף הגריאטריה במשרד הבריאות
"מרכז רפואי גריאטרי ""שהם""",מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),שיקום,ישראל דיגיטלית
מרכז רפואי הדסה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
מרכז רפואי הדסה,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
מרכזי אפ 60 (ג'וינט אשל),"מגזר שלישי (עמותה רשומה/חל""צ)",ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,NA
מרפא לנפש,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),בריאות הנפש,NA
מרפא לנפש,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),בריאות הנפש,"לשמ""ה"
משהו ירוק,אחר:,אחר:,NA
משהו ירוק,עסק פרטי,אחר:,NA
משמר הבריאות,מתעניין/ת בתחום,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
משמר הבריאות,מתעניין/ת בתחום,אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,ג'וינט אשל
משקפיים ורודות,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות בריאותית/ניהול בריאות/אורח חיים בריא,NA
משרד הבינוי והשיכון,משרד ממשלתי,אחר:,NA
משרד הבינוי והשיכון,משרד ממשלתי,אחר:,בתי אבות (כללי)
משרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),בריאות הנפש,NA
משרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),בריאות הנפש,משרד הבריאות
משרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),בריאות הנפש,משרד העבודה והרווחה
משרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,NA
משרד הבריאות,מערכת הבריאות (קופות חולים; בתי חולים ממשלתיים וכדומה),ירידה קוגנטיבית ודמנציה,ג'וינט אשל
משרד הבריאות - אגף בריאות דגיטלית,משרד ממשלתי,אוריינות דיגיטלית,NA
משרד הבריאות - אגף בריאות דגיטלית,משרד ממשלתי,אוריינות דיגיטלית,ג'וינט אשל
משרד הבריאות - האגף לבריאות דגיטלית,משרד ממשלתי,אוריינות דיגיטלית,NA
משרד הבריאות - האגף לבריאות דגיטלית,משרד ממשלתי,אוריינות דיגיטלית,החברה הישראלית לריפוי בעיסוק
משרד העבודה והרווחה,משרד ממשלתי,אחר:,NA
משרד העבודה והרווחה,משרד ממשלתי,אחר:,ג'וינט אשל
משרד העבודה והרווחה,משרד ממשלתי,אחר:,משרד העבודה והרווחה
משרד הרווחה רמת גן,משרד ממשלתי,אחר:,NA
משרד ראש הממשלה,משרד ממשלתי,אחר:,Caregivers Israel
משרד ראש הממשלה,משרד ממשלתי,אחר:,NA
מתחברים,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,אגף הגריאטריה במשרד הבריאות
מתחברים,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,הרשויות המקומיות (כללי)
מתחברים,"מגזר שלישי (עמותה רשומה/חל""צ)",הפגת בדידות,חברות פרסום ומיתוג (כללי)
מתיידדים עם הניידים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,"החברה למתנ""סים"
מתיידדים עם הניידים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,המשרד לשוויון חברתי
מתיידדים עם הניידים,"יזם חברתי (שאינו תחת עמותה/ חל""צ)",אוריינות דיגיטלית,לשכות הרווחה ברשויות המקומיות (כללי)
מתן חן חברת סיעוד,גרונטולוג,סיעוד,NA
מתן חן חברת סיעוד,גרונטולוג,סיעוד,אגף הגריאטריה במשרד הבריאות
מתן חן חברת סיעוד,גרונטולוג,סיעוד,עמותת מטב
"נאות המושבה, אברבנאל",חברה מסחרית - בתי אבות,ירידה קוגנטיבית ודמנציה,NA
"נאות המושבה, אברבנאל",חברה מסחרית - בתי אבות,ירידה קוגנטיבית ודמנציה,"צביקה זמיר - מנהל ""גולדן קייר"""
נורית חן - אימון לארגונים העוסקים בסיעוד (פרטי),מתעניין/ת בתחום,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,ג'וינט אשל
נורית חן - אימון לארגונים העוסקים בסיעוד (פרטי),מתעניין/ת בתחום,ניהול תקופת החיים החדשה/חוסן אישי/הכנה לפרישה,המשרד לשוויון חברתי
